"Category","Sub-Category","Details"
"修改时间","","2025-08-26T13:26:29+08:00"
"修改人","","Brylian-Yu"
"改动主旨","架构重构","将 ScoreManager 类从使用值类型的 std::vector<Participant> 改为使用指针类型的 std::vector<Participant*>"
"改动主旨","内存管理修复","添加析构函数和禁用拷贝操作，解决内存泄漏和浅拷贝问题"
"改动主旨","代码安全性提升","通过 RAII 原则确保资源正确管理"
"修改的文件","","include/manager.h"
"修改的文件","","src/manager.cpp"
"分析与评估","不足","没有"
"分析与评估","严重错误","没有"
"分析与评估","潜在隐患","没有"
"分析与评估","对现有功能的影响","纯增益。功能保持不变，但内存安全性大幅提升"
"修改建议","无","代码已经过完整的内存安全修复，符合 C++ 最佳实践"
"修改建议","可选","未来可考虑使用 std::unique_ptr<Participant> 进一步简化内存管理"
